Parameter,Display
Intercept,0.102924***(0.011891)
Size,0.02818***(0.001666)
MB,-0.0173***(0.002151)
D_RD,-0.07373***(0.013724)
Size*D_RD,-0.00553***(0.001956)
MB*D_RD,0.018833***(0.002517)
RSquare,0.109058
#Obs,16257
