Variables,Coefficients,Standard Errors,t-values,p-values,Significance
Intercept,0.11127945023562778,0.006766754799076836,16.445024762949775,2.792947708636562e-60,***
Size,0.023731977056564775,0.0008727837461016093,27.191130864393873,2.9631803278782157e-159,***
MB,-0.0032961305394140737,0.0011169537379829518,-2.951000052487745,0.003171989471965602,***
D_RD,-0.07705316126996825,0.0036540834197898876,-21.086864315319563,2.1096960136733482e-97,***
