,Debt,Size,MB,D_RD,D_Debt
count,16257.0,16257.0,16257.0,16257.0,16257.0
mean,0.19741667869859184,5.786051836887962,1.9118854024323744,0.5823952758811589,0.336347419573107
std,0.22493753892288815,2.0595064547871638,1.5484743879856429,0.49317946005504587,0.47247387687744263
min,0.0,-0.9775692147846229,0.33452403318981405,0.0,0.0
25%,0.00041888170903737294,4.575617783726067,0.9232595075510989,0.0,0.0
50%,0.1294401433679839,5.99144454690798,1.3967103823498555,1.0,0.0
75%,0.3169443334642523,7.193729393704146,2.343714964786804,1.0,1.0
max,1.016185010049083,10.067339921890987,8.824585003244383,1.0,1.0
