,Debt,Size,MB,D_RD,D_Debt
count,6789.0,6789.0,6789.0,6789.0,6789.0
mean,0.2635659570458891,6.626345796597363,1.5077617661149447,0.0,0.46339667108557964
std,0.23924617382415375,1.5483910980323283,1.1989337928505075,0.0,0.49869512593726495
min,0.0,-0.9775692147846229,0.33452403318981405,0.0,0.0
25%,0.049494633739710324,5.685591348194777,0.806837086409551,0.0,0.0
50%,0.2257615120771041,6.6471668368084655,1.1397830069043258,0.0,0.0
75%,0.4012520312315351,7.6889023477934275,1.74806881960944,0.0,1.0
max,1.016185010049083,10.067339921890987,8.824585003244383,0.0,1.0
