Variables,Logit Coefficients (eq. 1),Logit Std Errors (eq. 1),Variables,Logit Coefficients (eq. 2),Logit Std Errors (eq. 2),Variables,Probit Coefficients (eq. 1),Probit Std Errors (eq. 1),Variables,Probit Coefficients (eq. 2),Probit Std Errors (eq. 2),Variables,Tobit Coefficients (eq. 1),Tobit Std Errors (eq. 1),Logit Significance (eq. 1),Logit Significance (eq. 2),Probit Significance (eq. 1),Probit Significance (eq. 2),Tobit Significance (eq. 1)
Intercept,-1.8112154257529818,0.07714881040191343,Intercept,-1.6300152494014803,0.08080589832837219,Intercept,-1.0577014088469447,0.04473884186044615,Intercept,-0.941000911819387,0.046888655375684186,,,,***,***,***,***,
Size,0.2749303190063614,0.01031054828200435,Size,0.2800477066262746,0.01034712988487474,Size,0.15757163041019598,0.005874680560792421,Size,0.16118362030249866,0.005894497611154288,Size,0.023731977056564775,0.0008727837461016093,,,,,**
MB,-0.11081804166714845,0.013430642954206424,MB,-0.25908689936652896,0.02432534808297047,MB,-0.055173497053848296,0.007506073757781215,MB,-0.15070647528185924,0.013828586561097079,MB,-0.003296130539414074,0.0011169537379829516,***,***,***,***,***
D_RD,-0.5980387222701198,0.03671146053313773,D_RD,-0.962665763484999,0.059356794390500275,D_RD,-0.3714655539487945,0.022400633660358705,D_RD,-0.5979494752229024,0.034942648170612,D_RD,-0.07705316126996825,0.0036540834197898876,***,***,***,***,***
,,,MB_D_RD,0.22449738965461813,0.029062781247153464,,,,MB_D_RD,0.13792725371109776,0.016426183245544745,,,,,,,,
,,,,,,,,,,,,Intercept,0.1112794502356278,0.006766754799076835,,,,,
