,Debt,Size,MB,D_RD,D_Debt
count,9468.0,9468.0,9468.0,9468.0,9468.0
mean,0.14998454406616674,5.183521662356158,2.201661000970506,1.0,0.24524714828897337
std,0.2011267117561256,2.166747447551184,1.6986769376478597,0.0,0.4302563616932806
min,0.0,-0.9775692147846229,0.33452403318981405,1.0,0.0
25%,0.0,3.9080801594257943,1.063676640643492,1.0,0.0
50%,0.05804881763509509,5.299204419419707,1.6444190991400032,1.0,0.0
75%,0.2462625722029686,6.657578984230452,2.7598124783747577,1.0,0.0
max,1.016185010049083,10.067339921890987,8.824585003244383,1.0,1.0
