gvkey,fyear,datadate,at,ceq,csho,prcc_f,dlc,dltt,dvt,dvc,oibdp,sale,ppent,xad,xrd,fyr,exchg,permno,linktype,linkprim,linkdt,linkenddt,hexcd,mve,market_value_of_assets,market_debt_ratio,ln_market_value_of_assets,profits_to_sales,tangible_assets,market_to_book_assets,advertising_to_sales,rd_to_sales,rd_positive,firm_age,ln_firm_age,prev_year_dvt,prev_year_dvc
184258,2018,2018-12-31,676.193,282.756,22.701,35.89,36.953,242.946,24.383,24.383,92.466,524.067,55.195,5.213,3.194,12,11.0,93372.0,LC,P,2010-05-05,,1.0,814.7388900000001,1208.17589,0.23167073794197302,7.156518076843468,0.18504949181663707,0.07875640711291697,1.8716910691559543,0.009414078374150132,0.006160946840251239,1.0,8,2.0794415416798357,21.974,21.974
184258,2019,2019-12-31,705.695,313.163,22.795,55.0,32.504,241.062,25.183,25.183,105.631,571.71,81.001,4.895,5.693,12,11.0,93372.0,LC,P,2010-05-05,,1.0,1253.7250000000001,1646.257,0.16617454018418754,7.096866972200118,0.17643927207780682,0.08162610378989431,1.7867323234638632,0.009947201407453627,0.006094640570766714,1.0,9,2.1972245773362196,24.383,24.383
184258,2020,2020-12-31,579.202,200.204,22.857,42.77,13.877,254.11,25.926,25.926,71.843,480.154,85.761,3.437,6.679,12,11.0,93372.0,LC,P,2010-05-05,,1.0,977.59389,1356.59189,0.19754430346771426,7.406259505136529,0.18476325409735703,0.11478188169109885,2.33281658506862,0.008562033198649665,0.009957845760962725,1.0,10,2.302585092994046,25.183,25.183
185334,2014,2014-12-31,5200.945,1713.989,116.294,35.3,14.312,2285.984,104.406,104.406,489.616,2591.183,605.906,35.917,11.281,12,11.0,13818.0,LC,P,2013-03-28,2018-10-31,1.0,4105.178199999999,7592.134199999999,0.30298410689315797,8.810212105560675,0.17459827373692974,0.10298176155944541,1.319049159931205,0.013825298537234583,0.004272188281788924,1.0,1,0.0,66.785,66.785
185334,2015,2015-12-31,5340.083,1805.529,116.62,42.46,17.072,2272.932,114.709,114.709,531.01,2655.792,631.109,28.205,12.992,12,11.0,13818.0,LC,P,2013-03-28,2018-10-31,1.0,4951.6852,8486.2392,0.2698490987621466,8.934868016635116,0.18895462034136531,0.11649921312376885,1.4597605242893357,0.013861236354205782,0.004353609914853563,1.0,2,0.6931471805599453,104.406,104.406
185334,2016,2016-12-31,6739.645,1948.008,118.127,53.45,26.19,3140.496,127.398,127.398,654.913,3127.938,723.345,33.0,18.113,12,11.0,13818.0,LC,P,2013-03-28,2018-10-31,1.0,6313.88815,11105.525150000001,0.28514509284596956,9.046201212968118,0.19994412213004634,0.11818336905999402,1.589158670380217,0.010620184110803859,0.004891949369528939,1.0,3,1.0986122886681098,114.709,114.709
185334,2017,2017-12-31,6578.264,2379.132,119.018,59.47,36.673,2925.594,146.032,146.032,674.231,3144.002,739.713,29.3,16.07,12,11.0,13818.0,LC,P,2013-03-28,2018-10-31,1.0,7078.00046,11277.13246,0.2626790995412321,9.315198024719644,0.20937531370506704,0.10732686959031225,1.6477908183591272,0.010550081235625513,0.005790715800632877,1.0,4,1.3862943611198906,127.398,127.398
185732,2013,2013-12-31,331.618,152.387,66.806,6.13,0.0,0.0,0.0,0.0,34.273,347.047,34.826,29.015,0.0,12,11.0,12390.0,LC,P,2010-11-02,2016-06-30,1.0,409.52078,588.75178,0.0,5.852530155967823,0.03784320347117756,0.12842394827122824,1.1007036820387965,0.09021786960570616,0.0,0.0,3,1.0986122886681098,32.594,32.594
185733,2011,2012-02-29,294.653,190.117,77.479,11.0,0.0,0.0,0.0,0.0,26.647,177.52,76.726,2.719,0.0,2,11.0,12339.0,LC,P,2010-10-29,,1.0,852.269,956.8050000000001,0.0,6.759653103350721,0.26160162042897966,0.03450888552142168,3.9598796895807507,0.002450537128802402,0.0,0.0,1,0.0,30.0,30.0
185733,2013,2014-02-28,427.599,259.996,78.868,23.72,0.0,0.0,0.0,0.0,66.303,313.895,78.625,2.779,0.0,2,11.0,12339.0,LC,P,2010-10-29,,1.0,1870.74896,2038.35196,0.0,6.70848815361004,0.17151696756974472,0.240838243018333,2.59247505078439,0.011074177514373855,0.0,0.0,3,1.0986122886681098,39.03,39.03
185824,2013,2013-12-31,15046.649,1928.698,101.013,32.92,1965.346,448.967,87.058,87.058,407.823,769.927,290.761,0.0,0.0,12,11.0,12515.0,LC,P,2011-01-28,,1.0,3325.3479600000005,16443.29896,0.14682655870169742,9.464307795284915,0.5483505051417743,0.010288904620112891,1.0416408401033845,0.0,0.0,0.0,2,0.6931471805599453,77.99,74.091
185824,2014,2014-12-31,19210.529,2052.534,101.657,28.97,2605.35,713.209,87.851,87.851,454.015,867.909,314.558,0.0,0.0,12,11.0,12515.0,LC,P,2011-01-28,,1.0,2945.0032899999997,20102.99829,0.1650778133752704,9.707673315145975,0.5296904771491323,0.0193239704069657,1.0928213291876485,0.0,0.0,0.0,3,1.0986122886681098,87.058,87.058
185824,2015,2015-12-31,23883.467,2243.898,103.626,36.06,2730.0,1681.009,89.393,89.393,517.977,983.04,483.518,0.0,0.0,12,11.0,12515.0,LC,P,2011-01-28,,1.0,3736.7535600000006,25376.32256,0.17382380719548987,9.908624251579345,0.5231135983150307,0.01637424976688565,1.0464572990155556,0.0,0.0,0.0,4,1.3862943611198906,87.851,87.851
185824,2016,2016-12-31,27880.151,2418.429,104.167,37.69,5090.0,552.157,89.954,89.954,626.877,1165.634,631.031,0.0,0.0,12,11.0,12515.0,LC,P,2011-01-28,,1.0,3926.0542299999997,29387.776230000003,0.1919899265545755,10.141571835576991,0.5269134521484375,0.020244883207283095,1.0625058145871369,0.0,0.0,0.0,5,1.6094379124341003,89.393,89.393
185824,2017,2017-12-31,30346.986,3026.062,106.848,40.72,4546.0,627.83,92.173,92.173,726.219,1362.365,678.521,0.0,0.0,12,11.0,12515.0,LC,P,2011-01-28,,1.0,4350.85056,31671.774559999998,0.16335775534770036,10.288334092378799,0.5377991719527742,0.022633700943728744,1.0540752175266197,0.0,0.0,0.0,6,1.791759469228055,89.954,89.954
185824,2018,2018-12-31,32164.326,2923.833,99.141,29.94,4321.0,1052.749,89.923,89.923,845.294,1581.166,774.0,0.0,0.0,12,11.0,12515.0,LC,P,2011-01-28,,1.0,2968.2815400000004,32208.774540000002,0.16684115048606873,10.363181170801553,0.5330575873572795,0.022358760767873288,1.0436546996792366,0.0,0.0,0.0,7,1.9459101490553132,92.173,92.173
185824,2019,2019-12-31,32871.293,2980.779,95.128,36.56,4331.0,781.103,83.185,83.185,599.581,1429.074,822.293,0.0,0.0,12,11.0,12515.0,LC,P,2011-01-28,,1.0,3477.87968,33368.39368,0.15320195059506383,10.379994195653016,0.5346016800260062,0.02406392722173006,1.0013819204543568,0.0,0.0,0.0,8,2.0794415416798357,89.923,89.923
185824,2020,2020-12-31,35010.493,2983.012,93.068,34.78,3201.0,918.172,88.056,88.056,441.155,1200.83,780.51,0.0,0.0,12,11.0,12515.0,LC,P,2011-01-28,,1.0,3236.90504,35264.386040000005,0.11680827210000676,10.415364433937128,0.41955909910893346,0.025015535592104638,1.015122638467553,0.0,0.0,0.0,9,2.1972245773362196,83.185,83.185
185854,2011,2011-12-31,162.163,128.386,48.319,0.9234,0.0,0.0,0.0,0.0,9.355,95.152,6.366,3.607,0.0,12,11.0,12388.0,LC,P,2010-11-24,2013-04-30,1.0,44.6177646,78.39476460000002,0.0,5.757963826255469,0.46219545464084105,0.05104459770732461,2.1268211458004553,0.012716932826894425,0.0,0.0,1,0.0,40.909,40.909
185952,2018,2018-10-31,1408.1,531.4,62.684,10.91,1.3,420.6,12.8,12.8,124.5,2381.3,214.3,,6.5,10,11.0,16560.0,LC,P,2017-01-27,,1.0,683.88244,1560.58244,0.270347781178417,7.756605704944006,0.057382033466164974,0.1730528239075534,1.862961722915232,0.0018961249819757888,0.0018604072788269426,1.0,1,0.0,9.595,9.595
186392,2014,2014-12-31,2442.474,579.535,86.085,17.9,14.05,1589.403,54.345,54.345,351.76,1377.812,1744.631,110.5,0.0,12,11.0,13860.0,LC,P,2013-04-30,,1.0,1540.9214999999997,3403.8605,0.47106895244385016,8.405458850466546,0.2873576442390002,0.6860235149420685,1.7315787292823026,0.07669919534326314,0.0,0.0,1,0.0,53.911,53.911
186392,2015,2015-12-31,2391.134,504.12,83.801,19.69,31.85,1548.893,72.577,72.577,344.207,1371.004,1718.996,106.0,0.0,12,11.0,13860.0,LC,P,2013-04-30,,1.0,1650.0416900000002,3537.05569,0.44690927668147623,8.132665507654922,0.2553033360139119,0.71428846325488,1.3936117641375096,0.08019962084812733,0.0,0.0,2,0.6931471805599453,54.345,54.345
186392,2016,2016-12-31,2378.771,461.215,85.341,18.93,51.713,1531.069,62.385,62.385,268.25,1344.292,1666.815,124.6,0.0,12,11.0,13860.0,LC,P,2013-04-30,,1.0,1615.5051299999998,3533.06113,0.4479916824988533,8.171049934063152,0.2510619954427558,0.7189040848400801,1.4792377549731635,0.07731560228854183,0.0,0.0,3,1.0986122886681098,72.577,72.577
