Parameter,Display
Intercept,0.106952***(0.007076)
Size,0.033423***(0.001022)
MB,-0.00672***(0.001122)
RD_rank   1,-0.05471***(0.008112)
RD_rank   2,-0.13582***(0.007579)
RD_rank   3,-0.14728***(0.009656)
RD_rank   4,-0.03367**(0.015841)
RD_rank   5,0***(.)
RSquare,0.125326
#Obs,16257
