Variables,Coefficients (With R&D),Standard Errors (With R&D),Coefficients (Without R&D),Standard Errors (Without R&D),Significance (With R&D),Significance (Without R&D)
Intercept,0.02910207867031532,0.006299318884076508,0.0,0.0,**,***
Size,0.0015292350850907232,0.0012017723089388166,-0.01731478828025093,0.002372496388556849,***,***
MB,0.022670997789227973,0.0009421600601423794,0.02818230348665763,0.0018370462716243402,**,**
D_RD,,,0.10292684455598153,0.013115517867617691,,
